/home/upphill/Documents/DD2424/Assignmentsw/Assignment2/cifar10-twolayer-classifer/cifar10-twolayer-classifer/bonus/main.py:16: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  batch = pickle.load(fo, encoding='bytes')
-- Gradient check (lam=0) --
  Layer 1 W: abs=2.78e-17 rel=4.22e-16
  Layer 1 b: abs=1.39e-17 rel=3.20e-16
  Layer 2 W: abs=2.22e-16 rel=1.44e-16
  Layer 2 b: abs=1.11e-16 rel=9.69e-17

-- Overfit sanity check (100 examples, lam=0) --
  step 2340/3600 | loss: 1.3405/1.4717 | acc: 0.5328/0.4862 | eta: 0.060004
  step 2520/3600 | loss: 1.3860/1.5243 | acc: 0.5034/0.4636 | eta: 0.080002
  step 2700/3600 | loss: 1.5545/1.7124 | acc: 0.4578/0.4196 | eta: 0.100000
  step 2880/3600 | loss: 1.3497/1.4933 | acc: 0.5226/0.4690 | eta: 0.080002
  step 3060/3600 | loss: 1.2823/1.4464 | acc: 0.5516/0.4938 | eta: 0.060004
  step 3240/3600 | loss: 1.2411/1.4173 | acc: 0.5662/0.5048 | eta: 0.040006
  step 3420/3600 | loss: 1.2026/1.3916 | acc: 0.5827/0.5064 | eta: 0.020008
  lam=1.00e-05 | best val acc: 50.70% | final val acc: 50.64%

  lam=3.73e-05
  step    0/3600 | loss: 2.4712/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.8000/1.8253 | acc: 0.3690/0.3586 | eta: 0.020008
  step  360/3600 | loss: 1.6947/1.7420 | acc: 0.4041/0.3928 | eta: 0.040006
  step  540/3600 | loss: 1.6461/1.7076 | acc: 0.4290/0.4132 | eta: 0.060004
  step  720/3600 | loss: 1.5932/1.6545 | acc: 0.4351/0.4158 | eta: 0.080002
  step  900/3600 | loss: 1.5247/1.5930 | acc: 0.4609/0.4342 | eta: 0.100000
  step 1080/3600 | loss: 1.4814/1.5567 | acc: 0.4810/0.4522 | eta: 0.080002
  step 1260/3600 | loss: 1.4349/1.5253 | acc: 0.5015/0.4688 | eta: 0.060004
  step 1440/3600 | loss: 1.3516/1.4597 | acc: 0.5276/0.4906 | eta: 0.040006
  step 1620/3600 | loss: 1.3177/1.4327 | acc: 0.5425/0.5026 | eta: 0.020008
  step 1800/3600 | loss: 1.2913/1.4145 | acc: 0.5527/0.5064 | eta: 0.000010
  step 1980/3600 | loss: 1.2977/1.4245 | acc: 0.5482/0.5066 | eta: 0.020008
  step 2160/3600 | loss: 1.3214/1.4498 | acc: 0.5346/0.4906 | eta: 0.040006
  step 2340/3600 | loss: 1.3377/1.4725 | acc: 0.5322/0.4732 | eta: 0.060004
  step 2520/3600 | loss: 1.3908/1.5244 | acc: 0.5093/0.4628 | eta: 0.080002
  step 2700/3600 | loss: 1.4545/1.5730 | acc: 0.4870/0.4530 | eta: 0.100000
  step 2880/3600 | loss: 1.3874/1.5214 | acc: 0.5070/0.4614 | eta: 0.080002
  step 3060/3600 | loss: 1.2858/1.4506 | acc: 0.5510/0.4954 | eta: 0.060004
