/home/upphill/Documents/DD2424/Assignmentsw/Assignment2/cifar10-twolayer-classifer/cifar10-twolayer-classifer/src/main.py:11: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  batch = pickle.load(fo, encoding='bytes')
-- Gradient check (lam=0) --
  Layer 1 W: abs=2.78e-17 rel=4.22e-16
  Layer 1 b: abs=1.39e-17 rel=3.20e-16
  Layer 2 W: abs=2.22e-16 rel=1.44e-16
  Layer 2 b: abs=1.11e-16 rel=9.69e-17

-- Overfit sanity check (100 examples, lam=0) --
  step 2000/4000 | loss: 0.0046/0.0046 | acc: 1.0000/1.0000 | eta: 0.010000
  step 2100/4000 | loss: 0.0044/0.0044 | acc: 1.0000/1.0000 | eta: 0.010000
  step 2200/4000 | loss: 0.0041/0.0041 | acc: 1.0000/1.0000 | eta: 0.010000
  step 2300/4000 | loss: 0.0039/0.0039 | acc: 1.0000/1.0000 | eta: 0.010000
  step 2400/4000 | loss: 0.0037/0.0037 | acc: 1.0000/1.0000 | eta: 0.010000
  step 2500/4000 | loss: 0.0036/0.0036 | acc: 1.0000/1.0000 | eta: 0.010000
  step 2600/4000 | loss: 0.0034/0.0034 | acc: 1.0000/1.0000 | eta: 0.010000
  step 2700/4000 | loss: 0.0032/0.0032 | acc: 1.0000/1.0000 | eta: 0.010000
  step 2800/4000 | loss: 0.0031/0.0031 | acc: 1.0000/1.0000 | eta: 0.010000
  step 2900/4000 | loss: 0.0030/0.0030 | acc: 1.0000/1.0000 | eta: 0.010000
  step 3000/4000 | loss: 0.0029/0.0029 | acc: 1.0000/1.0000 | eta: 0.010000
  step 3100/4000 | loss: 0.0028/0.0028 | acc: 1.0000/1.0000 | eta: 0.010000
  step 3200/4000 | loss: 0.0027/0.0027 | acc: 1.0000/1.0000 | eta: 0.010000
  step 3300/4000 | loss: 0.0026/0.0026 | acc: 1.0000/1.0000 | eta: 0.010000
  step 3400/4000 | loss: 0.0025/0.0025 | acc: 1.0000/1.0000 | eta: 0.010000
  step 3500/4000 | loss: 0.0024/0.0024 | acc: 1.0000/1.0000 | eta: 0.010000
  step 3600/4000 | loss: 0.0023/0.0023 | acc: 1.0000/1.0000 | eta: 0.010000
  step 3700/4000 | loss: 0.0022/0.0022 | acc: 1.0000/1.0000 | eta: 0.010000
  step 3800/4000 | loss: 0.0022/0.0022 | acc: 1.0000/1.0000 | eta: 0.010000
  step 3900/4000 | loss: 0.0021/0.0021 | acc: 1.0000/1.0000 | eta: 0.010000

-- Exercise 3: 1 cycle (replicating Figure 3) --
  step    0/1000 | loss: 2.4658/2.4768 | acc: 0.0975/0.0933 | eta: 0.000010
  step  100/1000 | loss: 1.8269/1.9094 | acc: 0.3596/0.3276 | eta: 0.020008
  step  200/1000 | loss: 1.6359/1.7837 | acc: 0.4329/0.3766 | eta: 0.040006
  step  300/1000 | loss: 1.5267/1.7300 | acc: 0.4733/0.3909 | eta: 0.060004
  step  400/1000 | loss: 1.5310/1.7506 | acc: 0.4572/0.3945 | eta: 0.080002
  step  500/1000 | loss: 1.5125/1.7418 | acc: 0.4709/0.3873 | eta: 0.100000
  step  600/1000 | loss: 1.4252/1.6950 | acc: 0.4963/0.3978 | eta: 0.080002
  step  700/1000 | loss: 1.3350/1.6485 | acc: 0.5432/0.4289 | eta: 0.060004
  step  800/1000 | loss: 1.2635/1.6077 | acc: 0.5724/0.4379 | eta: 0.040006
  step  900/1000 | loss: 1.2206/1.5856 | acc: 0.5927/0.4510 | eta: 0.020008
Saved: /home/upphill/Documents/DD2424/Assignmentsw/Assignment2/cifar10-twolayer-classifer/cifar10-twolayer-classifer/figures/ex3_one_cycle.png

-- Exercise 4: 3 cycles (replicating Figure 4) --
  step    0/4800 | loss: 2.4658/2.4768 | acc: 0.0975/0.0933 | eta: 0.000010
  step  160/4800 | loss: 1.7381/1.8377 | acc: 0.3938/0.3531 | eta: 0.020008
  step  320/4800 | loss: 1.5817/1.7685 | acc: 0.4464/0.3779 | eta: 0.040006
  step  480/4800 | loss: 1.5360/1.7851 | acc: 0.4647/0.3805 | eta: 0.060004
  step  640/4800 | loss: 1.4672/1.7474 | acc: 0.4812/0.3921 | eta: 0.080002
  step  800/4800 | loss: 1.4427/1.7174 | acc: 0.4920/0.3881 | eta: 0.100000
  step  960/4800 | loss: 1.3362/1.6618 | acc: 0.5316/0.4197 | eta: 0.080002
  step 1120/4800 | loss: 1.2357/1.6183 | acc: 0.5803/0.4416 | eta: 0.060004
  step 1280/4800 | loss: 1.1621/1.5923 | acc: 0.6147/0.4510 | eta: 0.040006
  step 1440/4800 | loss: 1.1249/1.5740 | acc: 0.6334/0.4533 | eta: 0.020008
  step 1600/4800 | loss: 1.0842/1.5551 | acc: 0.6551/0.4629 | eta: 0.000010
  step 1760/4800 | loss: 1.0935/1.5739 | acc: 0.6496/0.4566 | eta: 0.020008
  step 1920/4800 | loss: 1.1054/1.5980 | acc: 0.6295/0.4480 | eta: 0.040006
  step 2080/4800 | loss: 1.2808/1.7538 | acc: 0.5564/0.4093 | eta: 0.060004
  step 2240/4800 | loss: 1.2494/1.6993 | acc: 0.5725/0.4151 | eta: 0.080002
  step 2400/4800 | loss: 1.3098/1.7365 | acc: 0.5518/0.4092 | eta: 0.100000
  step 2560/4800 | loss: 1.2853/1.7175 | acc: 0.5561/0.4027 | eta: 0.080002
  step 2720/4800 | loss: 1.1100/1.5810 | acc: 0.6302/0.4552 | eta: 0.060004
  step 2880/4800 | loss: 1.0529/1.5758 | acc: 0.6614/0.4533 | eta: 0.040006
  step 3040/4800 | loss: 1.0156/1.5676 | acc: 0.6791/0.4569 | eta: 0.020008
  step 3200/4800 | loss: 0.9802/1.5506 | acc: 0.6983/0.4622 | eta: 0.000010
  step 3360/4800 | loss: 0.9884/1.5664 | acc: 0.6896/0.4570 | eta: 0.020008
  step 3520/4800 | loss: 1.0364/1.6159 | acc: 0.6661/0.4442 | eta: 0.040006
  step 3680/4800 | loss: 1.0818/1.6563 | acc: 0.6390/0.4361 | eta: 0.060004
  step 3840/4800 | loss: 1.1926/1.7195 | acc: 0.5912/0.4205 | eta: 0.080002
  step 4000/4800 | loss: 1.2186/1.6876 | acc: 0.5730/0.4264 | eta: 0.100000
  step 4160/4800 | loss: 1.1331/1.6118 | acc: 0.6197/0.4444 | eta: 0.080002
  step 4320/4800 | loss: 1.1249/1.6405 | acc: 0.6186/0.4382 | eta: 0.060004
  step 4480/4800 | loss: 1.0245/1.5912 | acc: 0.6659/0.4484 | eta: 0.040006
  step 4640/4800 | loss: 0.9717/1.5647 | acc: 0.6961/0.4591 | eta: 0.020008
  Test accuracy after 3 cycles: 47.50%
Saved: /home/upphill/Documents/DD2424/Assignmentsw/Assignment2/cifar10-twolayer-classifer/cifar10-twolayer-classifer/figures/ex4_three_cycles.png

-- Coarse lambda search --

  lam=1.00e-05
  step    0/3600 | loss: 2.4712/2.4714 | acc: 0.0950/0.0948 | eta: 0.000010
  step  180/3600 | loss: 1.7885/1.8133 | acc: 0.3762/0.3636 | eta: 0.020008
  step  360/3600 | loss: 1.6916/1.7452 | acc: 0.4094/0.3944 | eta: 0.040006
  step  540/3600 | loss: 1.6405/1.7099 | acc: 0.4251/0.4066 | eta: 0.060004
  step  720/3600 | loss: 1.5796/1.6460 | acc: 0.4452/0.4300 | eta: 0.080002
  step  900/3600 | loss: 1.5805/1.6280 | acc: 0.4388/0.4190 | eta: 0.100000
  step 1080/3600 | loss: 1.4774/1.5602 | acc: 0.4793/0.4530 | eta: 0.080002
  step 1260/3600 | loss: 1.4232/1.5167 | acc: 0.4956/0.4628 | eta: 0.060004
  step 1440/3600 | loss: 1.3521/1.4599 | acc: 0.5270/0.4798 | eta: 0.040006
  step 1620/3600 | loss: 1.3106/1.4272 | acc: 0.5471/0.4968 | eta: 0.020008
  step 1800/3600 | loss: 1.2863/1.4074 | acc: 0.5550/0.5056 | eta: 0.000010
  step 1980/3600 | loss: 1.2957/1.4216 | acc: 0.5484/0.4998 | eta: 0.020008
  step 2160/3600 | loss: 1.3056/1.4453 | acc: 0.5456/0.4878 | eta: 0.040006
  step 2340/3600 | loss: 1.3602/1.4917 | acc: 0.5284/0.4734 | eta: 0.060004
